Player,Squad,Comp,Pos,Min,Gls,Ast,Sh,SoT,goals_per_90,assists_per_90,shots_per_90,sot_per_90,shot_accuracy,goal_efficiency,contribution,score
Domenico Berardi,Sassuolo,it Serie A,FW,1711,7,4,34,18,0.36820572764465226,0.21040327293980127,1.788427819988311,0.9468147282291058,0.5294117647058824,0.20588235294117646,11,0.07741258981675662
Anthony Bermont,Lens,fr Ligue 1,FW,92,0,0,3,1,0.0,0.0,2.934782608695652,0.9782608695652174,0.3333333333333333,0.0,0,0.026086956521739132
Federico Bernardeschi,Bologna,it Serie A,"MF,FW",913,2,2,28,8,0.19715224534501644,0.19715224534501644,2.76013143483023,0.7886089813800657,0.2857142857142857,0.07142857142857142,4,0.05064935064935065
Beto,Everton,eng Premier League,FW,1357,8,1,38,16,0.5305821665438467,0.06632277081798084,2.520265291083272,1.0611643330876934,0.42105263157894735,0.21052631578947367,9,0.09118411356320057
Mika Biereth,Monaco,fr Ligue 1,FW,1031,2,2,19,7,0.17458777885548013,0.17458777885548013,1.6585838991270612,0.6110572259941804,0.3684210526315789,0.10526315789473684,4,0.04627086630251672
Veljko Birmančević,Getafe,es La Liga,FW,136,0,0,2,1,0.0,0.0,1.3235294117647058,0.6617647058823529,0.5,0.0,0,0.011764705882352941
Ludovic Blas,Rennes,fr Ligue 1,"MF,FW",1382,5,4,42,13,0.3256150506512301,0.26049204052098407,2.735166425470333,0.8465991316931983,0.30952380952380953,0.11904761904761904,9,0.06693542829577562
Oscar Bobb,Manchester City,eng Premier League,"MF,FW",468,0,1,4,0,0.0,0.19230769230769232,0.7692307692307693,0.0,0.0,0.0,1,0.008974358974358975
Ben Bobzien,Mainz 05,de Bundesliga,"FW,MF",9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Jeremie Boga,Nice,fr Ligue 1,"MF,FW",646,2,2,15,5,0.2786377708978328,0.2786377708978328,2.0897832817337463,0.6965944272445821,0.3333333333333333,0.13333333333333333,4,0.061960784313725495
Jeremie Boga,Juventus,it Serie A,"MF,FW",533,4,0,16,9,0.6754221388367729,0.0,2.7016885553470917,1.5196998123827392,0.5625,0.25,4,0.10703564727954973
Hugo Bolin,Gladbach,de Bundesliga,"MF,FW",425,0,1,11,2,0.0,0.2117647058823529,2.3294117647058825,0.4235294117647058,0.18181818181818182,0.0,1,0.023058823529411767
Federico Bonazzoli,Cremonese,it Serie A,FW,2187,7,1,67,25,0.28806584362139914,0.0411522633744856,2.757201646090535,1.02880658436214,0.373134328358209,0.1044776119402985,8,0.05994444785673826
Victor Boniface,Werder Bremen,de Bundesliga,FW,333,0,2,16,6,0.0,0.5405405405405406,4.324324324324325,1.6216216216216217,0.375,0.0,2,0.04444444444444445
Ange-Yoan Bonny,Inter,it Serie A,FW,952,5,3,21,9,0.47268907563025214,0.28361344537815125,1.9852941176470589,0.8508403361344538,0.42857142857142855,0.23809523809523808,8,0.09152661064425771
Thiago Borbas,Oviedo,es La Liga,FW,122,0,0,3,1,0.0,0.0,2.2131147540983607,0.7377049180327869,0.3333333333333333,0.0,0,0.019672131147540985
Gennaro Borrelli,Cagliari,it Serie A,FW,1202,4,1,25,8,0.2995008319467554,0.07487520798668885,1.8718801996672212,0.5990016638935108,0.32,0.16,5,0.06411314475873545
Kaïl Boudache,Nice,fr Ligue 1,FW,416,1,0,10,2,0.21634615384615385,0.0,2.1634615384615388,0.4326923076923077,0.2,0.1,1,0.04980769230769232
Sofiane Boufal,Le Havre,fr Ligue 1,"FW,MF",800,1,3,14,3,0.1125,0.33749999999999997,1.5750000000000002,0.33749999999999997,0.21428571428571427,0.07142857142857142,4,0.03753571428571428
Justin Bourgault,Brest,fr Ligue 1,FW,16,0,0,1,0,0.0,0.0,5.625,0.0,0.0,0.0,0,0.05
Jarrod Bowen,West Ham United,eng Premier League,"MF,FW",3046,8,10,73,24,0.23637557452396585,0.29546946815495734,2.1569271175311884,0.7091267235718975,0.3287671232876712,0.1095890410958904,18,0.05592962699790428
Kieron Bowie,Hellas Verona,it Serie A,FW,840,2,0,19,6,0.2142857142857143,0.0,2.0357142857142856,0.6428571428571428,0.3157894736842105,0.10526315789473684,2,0.049624060150375945
Lucas Boyé,Alavés,es La Liga,FW,1866,11,1,59,20,0.5305466237942122,0.04823151125401929,2.8456591639871385,0.9646302250803859,0.3389830508474576,0.1864406779661017,12,0.08905662433920106
Bilal Brahimi,Nice,fr Ligue 1,"FW,MF",1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Julian Brandt,Dortmund,de Bundesliga,"MF,FW",1428,7,4,34,16,0.4411764705882353,0.25210084033613445,2.142857142857143,1.0084033613445378,0.47058823529411764,0.20588235294117646,11,0.08459383753501401
Iker Bravo,Udinese,it Serie A,FW,206,1,0,4,1,0.4368932038834951,0.0,1.7475728155339805,0.4368932038834951,0.25,0.25,1,0.08689320388349514
Josip Brekalo,Oviedo,es La Liga,"MF,FW",486,0,0,9,3,0.0,0.0,1.6666666666666665,0.5555555555555556,0.3333333333333333,0.0,0,0.014814814814814815
Brian Brobbey,Sunderland,eng Premier League,FW,1630,6,1,27,14,0.3312883435582822,0.05521472392638037,1.49079754601227,0.7730061349693252,0.5185185185185185,0.2222222222222222,7,0.07450579413769598
Armando Broja,Burnley,eng Premier League,FW,845,1,1,16,6,0.10650887573964497,0.10650887573964497,1.7041420118343196,0.6390532544378698,0.375,0.0625,2,0.034038461538461545
Brugui,Levante,es La Liga,"MF,FW",896,0,1,18,5,0.0,0.10044642857142856,1.8080357142857144,0.5022321428571429,0.2777777777777778,0.0,1,0.0171875
Paris Brunner,Monaco,fr Ligue 1,FW,117,0,0,2,0,0.0,0.0,1.5384615384615385,0.0,0.0,0.0,0,0.013675213675213677
Jacob Bruun Larsen,Burnley,eng Premier League,"MF,FW",1011,0,1,16,4,0.0,0.08902077151335311,1.4243323442136497,0.35608308605341243,0.25,0.0,1,0.013649851632047478
Ante Budimir,Osasuna,es La Liga,FW,2538,16,0,84,35,0.5673758865248227,0.0,2.978723404255319,1.2411347517730498,0.4166666666666667,0.19047619047619047,16,0.09231115614094337
Louis Buffon,Pisa,it Serie A,FW,32,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Adam Buksa,Udinese,it Serie A,FW,667,2,0,10,4,0.2698650674662669,0.0,1.3493253373313343,0.5397301349325337,0.4,0.2,2,0.06518740629685157
Marius Bülter,Köln,de Bundesliga,"FW,MF",1357,3,4,35,13,0.19896831245394253,0.26529108327192336,2.3212969786293294,0.862196020633751,0.37142857142857144,0.08571428571428572,7,0.050451626486998635
Livan Burcu,Union Berlin,de Bundesliga,"MF,FW",490,0,0,12,1,0.0,0.0,2.204081632653061,0.1836734693877551,0.08333333333333333,0.0,0,0.019591836734693877
Jonathan Burkardt,Eintracht Frankfurt,de Bundesliga,FW,1236,10,0,36,18,0.7281553398058251,0.0,2.621359223300971,1.3106796116504855,0.5,0.2777777777777778,10,0.11445523193096008
